,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.96,0.49,0.47,111,6,"1973,1942",1916,2010,1982,top-tenth,"1920,1982"
3,2,2.20,0.98,1.22,115,2,1942,1907,2010,1907,top-tenth,
4,3,2.83,1.59,1.24,109,8,1940,1923,2010,2009,top-tenth,
5,4,3.92,2.66,1.26,103,14,2000,1999,2008,2010,top-third,
6,5,7.90,4.32,3.58,113,4,1953,2009,2010,2009,top-tenth,
7,6,10.30,6.45,3.85,113,4,1898,1901,2010,2009,top-tenth,
8,7,13.06,9.03,4.03,112,5,1977,1901,2010,2009,top-tenth,
9,8,16.67,12.44,4.23,113,4,1937,1994,2010,2009,top-tenth,
10,9,20.75,14.74,6.01,115,2,1937,1994,2010,1994,top-tenth,
11,10,22.33,16.11,6.22,115,2,1937,1994,2010,1994,top-tenth,
12,11,23.09,16.85,6.24,116,1,1937,2011,2010,,highest,
13,12,23.65,17.31,6.34,116,1,1937,2011,2010,,highest,
