,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.33,0.49,-0.16,42,76,"1942,1973",1916,2008,2011,normal,1910
3,2,0.65,0.98,-0.33,26,92,1942,1907,2008,2011,bottom-third,
4,3,0.81,1.59,-0.78,8,110,1940,1923,2008,2011,bottom-tenth,
5,4,1.87,2.66,-0.79,26,92,2000,1999,2008,2011,bottom-third,
6,5,3.36,4.32,-0.96,35,83,1953,2009,2008,2011,bottom-third,
7,6,5.82,6.45,-0.63,43,75,1898,1901,2008,2011,normal,1971
8,7,9.61,9.03,0.58,74,44,1977,1901,2008,2011,normal,
9,8,13.50,12.44,1.06,82,36,1937,1994,2008,2011,top-third,
10,9,17.56,14.74,2.82,98,20,1937,1994,2010,2011,top-third,
11,10,19.43,16.11,3.32,100,18,1937,1994,2010,2011,top-third,
12,11,20.48,16.85,3.63,103,15,1937,2011,2010,2011,top-third,
13,12,20.81,17.31,3.50,103,15,1937,2011,2010,2011,top-third,
