,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,33.8,33.7,0.1,60,57,1949,2003,2010,2009,normal,
3,2,37.1,34.0,3.1,104,13,1919,1981,2010,2009,top-third,1995
4,3,38.7,36.7,2.0,94,23,1919,1911,2010,2009,top-third,1950
5,4,43.2,41.1,2.1,103,14,1919,1999,2010,2009,top-third,1982
6,5,48.2,45.7,2.5,111,6,1913,1999,2010,2006,top-tenth,"1956,1978,1996"
7,6,52.3,49.9,2.4,112,5,1913,1999,2010,2006,top-tenth,"1934,1978,2006"
8,7,55.3,53.2,2.1,111,6,1913,2004,2010,2006,top-tenth,"1934,1996"
9,8,57.4,55.2,2.2,113,4,1913,2004,2010,2004,top-tenth,
10,9,57.7,55.7,2.0,110,7,1913,2004,2010,2006,top-tenth,2003
11,10,57.2,55.3,1.9,111,6,1913,2004,2010,2006,top-tenth,"1999,2006"
12,11,55.9,54.2,1.7,110,7,1913,1911,2010,2006,top-tenth,"1999,2006"
13,12,54.2,52.9,1.3,102,15,1913,1935,2010,2008,top-third,"1982,2007"
