,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.08,0.61,-0.53,5,112,1928,1916,2003,2010,bottom-tenth,
3,2,0.75,1.35,-0.60,22,95,2006,1992,2006,2010,bottom-third,
4,3,0.85,2.00,-1.15,8,109,1904,"1979,1992",2006,2010,bottom-tenth,
5,4,1.66,3.13,-1.47,15,102,1904,1987,2006,2010,bottom-third,1950
6,5,3.09,4.84,-1.75,21,96,1957,1942,2002,2010,bottom-third,
7,6,5.35,7.31,-1.96,15,102,1957,1942,2004,2010,bottom-third,
8,7,9.05,9.66,-0.61,48,69,1904,1992,2008,2010,normal,
9,8,9.94,10.81,-0.87,39,78,1957,1987,2006,2010,bottom-third,
10,9,10.41,11.88,-1.47,32,85,1957,1942,2006,2010,bottom-third,
11,10,11.28,12.64,-1.36,37,80,1957,1942,2006,2010,bottom-third,
12,11,12.28,13.36,-1.08,43,74,1957,1942,2006,2010,normal,1902
13,12,13.46,14.00,-0.54,51,66,1957,1942,2010,2008,normal,
