,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,23.5,26.9,-3.4,28,89,1977,2006,2009,2010,bottom-third,"1924,2004"
3,2,24.2,28.7,-4.5,13,104,1918,1932,1984,2010,bottom-third,1905
4,3,30.1,32.7,-2.6,23,94,1977,1932,2001,2010,bottom-third,
5,4,36.2,37.8,-1.6,26,91,1977,1932,2009,2010,bottom-third,2003
6,5,42.2,43.1,-0.9,36,81,1977,1932,2009,2010,bottom-third,1908
7,6,47.5,47.8,-0.3,42,75,1977,1932,2009,2010,normal,"1927,1956,1997"
8,7,51.4,51.4,0.0,56,61,1977,1932,2010,2008,normal,1993
9,8,54.0,53.6,0.4,70,47,"1977,1918",1932,2010,2008,normal,"1899,1941"
10,9,55.1,54.3,0.8,79,38,1918,1932,2010,2008,top-third,"1906,1987"
11,10,55.1,53.8,1.3,96,21,1918,1932,2010,2008,top-third,"1907,1914,1919"
12,11,53.9,52.4,1.5,101,16,1918,1932,2010,2008,top-third,"1909,1923"
13,12,51.6,50.4,1.2,93,24,1918,1932,2010,2008,top-third,"1909,1953"
