,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.47,2.81,-1.34,17,100,1981,1937,2001,2010,bottom-third,
3,2,3.35,5.55,-2.20,14,103,1944,1937,1981,2010,bottom-third,
4,3,7.49,8.34,-0.85,42,75,1977,1937,2010,2009,normal,
5,4,9.42,10.89,-1.47,29,88,1964,1937,2001,2010,bottom-third,
6,5,11.53,13.87,-2.34,19,98,1964,1937,1988,2010,bottom-third,
7,6,14.25,17.34,-3.09,15,102,1964,1927,1988,2010,bottom-third,
8,7,17.70,21.32,-3.62,17,100,1931,1927,1992,2010,bottom-third,
9,8,24.02,25.28,-1.26,42,75,1931,1991,2010,2009,normal,
10,9,29.39,29.07,0.32,57,60,1931,1991,2010,2009,normal,
11,10,31.57,32.55,-0.98,44,73,1931,1991,2010,2009,normal,
12,11,34.42,35.92,-1.50,39,78,1931,2005,2010,2009,bottom-third,
13,12,36.47,38.22,-1.75,36,81,1931,1991,2010,2009,bottom-third,
