,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,22.5,25.3,-2.8,31,86,1977,1932,2009,2010,bottom-third,1979
3,2,24.0,27.2,-3.2,19,98,1918,1932,1994,2010,bottom-third,
4,3,29.6,31.2,-1.6,30,87,1918,1932,2003,2010,bottom-third,
5,4,35.1,36.1,-1.0,37,80,1918,1932,2009,2010,bottom-third,"1899,1922"
6,5,40.8,41.2,-0.4,42,75,1918,1932,2009,2010,normal,"1899,1964,1988"
7,6,45.8,45.8,0.0,60,57,1918,1932,2009,2010,normal,"1899,1948,1957,1973,1979"
8,7,49.7,49.3,0.4,75,42,1977,1932,2010,2008,normal,"1899,1900,1923,1985,1986"
9,8,52.2,51.4,0.8,90,27,1918,1932,2010,2008,top-third,"1909,1935,1962,1983,1989"
10,9,53.1,52.1,1.0,93,24,1918,1932,2010,2008,top-third,"1935,1983,1991"
11,10,53.0,51.5,1.5,104,13,1918,1932,2010,2008,top-third,"1949,1974,1995"
12,11,52.0,50.1,1.9,108,9,1918,1932,2010,2008,top-tenth,"1922,2008"
13,12,49.8,48.1,1.7,105,12,1918,1932,2010,2007,top-tenth,1947
