,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.90,3.05,-1.15,20,97,1981,1978,2001,2010,bottom-third,
3,2,5.34,6.15,-0.81,40,77,1981,1978,2002,2010,normal,
4,3,8.63,9.36,-0.73,43,74,1977,1978,2002,2010,normal,
5,4,13.78,12.53,1.25,77,40,1931,1978,2009,2010,normal,
6,5,17.19,16.09,1.10,76,41,1931,1978,2010,2009,normal,
7,6,20.30,19.96,0.34,57,60,1931,2005,2009,2010,normal,
8,7,24.94,24.16,0.78,61,56,1931,2005,2009,2010,normal,
9,8,28.57,28.31,0.26,58,58,1931,2005,2009,2010,normal,2009
10,9,32.59,32.22,0.37,57,60,1931,2005,2008,2010,normal,
11,10,34.90,35.83,-0.93,46,71,1931,2005,2002,2010,normal,
12,11,38.47,39.33,-0.86,47,70,1931,2005,2002,2010,normal,
13,12,41.13,41.94,-0.81,49,68,1931,2005,2002,2010,normal,
