,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,33.5,27.2,6.3,106,12,1918,1932,2011,2006,top-tenth,
3,2,36.3,29.1,7.2,116,2,1918,2002,2011,2007,top-tenth,2007
4,3,40.1,33.2,6.9,117,1,1918,"2007,2002,2012",2011,2007,highest,"2002,2007"
5,4,43.8,37.9,5.9,117,1,1918,2012,2011,,highest,
6,5,48.3,42.7,5.6,117,1,1918,2012,2011,,highest,
7,6,52.2,47.0,5.2,117,1,1918,2012,2011,,highest,
8,7,55.3,50.4,4.9,117,1,1905,2012,2011,,highest,
9,8,56.6,52.2,4.4,117,1,1904,2012,2011,,highest,
10,9,56.9,52.6,4.3,117,1,1918,2012,2011,,highest,
11,10,56.1,51.9,4.2,117,1,1918,2012,2011,,highest,
12,11,54.5,50.5,4.0,117,1,1918,2012,2011,,highest,
13,12,52.3,48.6,3.7,117,1,1918,2012,2011,,highest,
