,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.07,3.94,0.13,73,44,1955,1979,2010,2006,normal,
3,2,8.28,8.10,0.18,71,46,1981,1979,2008,2010,normal,1904
4,3,11.95,12.25,-0.30,58,59,1981,1987,2008,2010,normal,
5,4,16.31,15.79,0.52,66,51,2002,2006,2008,2010,normal,
6,5,19.25,19.39,-0.14,59,58,2002,2006,2008,2010,normal,
7,6,22.45,23.43,-0.98,51,66,1981,2006,2008,2010,normal,
8,7,26.15,26.67,-0.52,53,64,1966,1899,2008,2010,normal,
9,8,29.92,29.96,-0.04,61,56,1966,1978,2008,2010,normal,
10,9,32.65,33.42,-0.77,54,63,1966,2007,2008,2010,normal,
11,10,34.61,37.45,-2.84,32,85,1966,1973,2002,2010,bottom-third,
12,11,49.37,41.66,7.71,101,16,1966,1973,2008,2010,top-third,
13,12,54.14,45.14,9.00,105,12,1966,1973,2010,2009,top-tenth,
