,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,48.3,44.6,3.7,96,22,1940,1974,2011,2007,top-third,1911
3,2,49.5,45.2,4.3,103,15,1918,1932,2011,2007,top-third,"1907,2002"
4,3,51.4,47.8,3.6,110,8,1918,1932,2011,2002,top-tenth,1950
5,4,53.9,51.7,2.2,102,16,1918,1932,2011,2008,top-third,"1986,2006"
6,5,57.9,56.1,1.8,98,20,1918,1932,2011,2008,top-third,1916
7,6,61.8,59.9,1.9,105,13,1977,1932,2011,2008,top-third,
8,7,64.8,62.7,2.1,110,8,1977,1932,2011,2008,top-tenth,
9,8,66.8,64.5,2.3,115,3,1977,1932,2011,1999,top-tenth,1937
10,9,67.3,65.2,2.1,114,4,1977,1932,2011,1999,top-tenth,
11,10,67.1,64.8,2.3,115,3,1977,"1932,1999",2011,1999,top-tenth,
12,11,66.1,63.8,2.3,116,2,1918,1999,2011,1999,top-tenth,
13,12,64.8,62.4,2.4,117,1,1918,"1999,2012",2011,1999,highest,1999
