,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,25.4,15.0,10.4,111,7,1937,2006,2011,2006,top-tenth,
3,2,26.1,17.5,8.6,113,5,1979,1992,2011,2006,top-tenth,
4,3,28.9,22.2,6.7,114,4,1979,2000,2011,2006,top-tenth,1914
5,4,34.5,28.6,5.9,115,3,1912,2000,2011,2006,top-tenth,
6,5,39.6,34.9,4.7,115,3,1897,2006,2011,2006,top-tenth,
7,6,44.9,40.9,4.0,114,4,1912,2006,2011,2006,top-tenth,
8,7,49.3,45.4,3.9,115,3,1912,2006,2011,2006,top-tenth,
9,8,51.3,47.9,3.4,113,5,1952,2006,2011,2006,top-tenth,1989
10,9,51.4,48.8,2.6,108,10,1952,1989,2011,2006,top-tenth,2000
11,10,50.6,48.4,2.2,100,18,1952,2006,2011,2007,top-third,1914
12,11,48.5,46.8,1.7,96,22,1952,2006,2011,2008,top-third,"1911,2005"
13,12,45.8,44.6,1.2,89,29,1918,2006,2011,2008,top-third,"1941,1982,2004"
