,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.93,0.47,0.46,105,12,1942,1897,2010,1997,top-tenth,
3,2,1.88,0.95,0.93,113,4,1987,1910,2010,1997,top-tenth,
4,3,2.21,1.60,0.61,99,18,1913,1923,2010,2009,top-third,
5,4,3.21,2.88,0.33,77,40,1913,1999,2007,2010,normal,
6,5,6.47,4.51,1.96,103,14,1953,1997,2008,2010,top-third,
7,6,8.49,6.67,1.82,99,18,1959,1997,2007,2010,top-third,
8,7,12.22,9.22,3.00,106,11,1977,1916,2009,2010,top-tenth,
9,8,17.14,12.65,4.49,113,4,1937,1916,2010,1999,top-tenth,
10,9,20.83,15.55,5.28,108,9,1937,1916,2010,2009,top-tenth,
11,10,23.21,17.49,5.72,112,5,1937,1916,2010,1996,top-tenth,
12,11,24.40,18.54,5.86,112,5,1937,1916,2010,1996,top-tenth,
13,12,25.00,19.08,5.92,113,4,1937,1916,2010,1996,top-tenth,
