,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.41,0.47,-0.06,63,55,1942,1897,2009,2011,normal,1973
3,2,0.67,0.95,-0.28,33,85,1987,1910,2005,2011,bottom-third,
4,3,0.91,1.60,-0.69,21,97,1913,1923,2008,2011,bottom-third,
5,4,2.02,2.88,-0.86,31,87,1913,1999,2007,2011,bottom-third,1956
6,5,2.65,4.51,-1.86,8,110,1953,1997,1977,2011,bottom-tenth,
7,6,4.97,6.67,-1.70,17,101,1959,1997,1991,2011,bottom-third,1918
8,7,8.12,9.22,-1.10,34,84,1977,1916,2004,2011,bottom-third,1956
9,8,12.64,12.65,-0.01,61,57,1937,1916,2007,2011,normal,1966
10,9,17.14,15.55,1.59,84,34,1937,1916,2007,2011,top-third,
11,10,19.43,17.49,1.94,80,38,1937,1916,2007,2011,top-third,
12,11,20.48,18.54,1.94,85,33,1937,1916,2007,2011,top-third,
13,12,21.61,19.08,2.53,92,26,1937,1916,2007,2011,top-third,
