,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,33.9,37.2,-3.3,25,92,1940,1950,2010,2009,bottom-third,
3,2,33.3,38.3,-5.0,12,105,1918,1932,2001,2010,bottom-tenth,
4,3,38.8,41.3,-2.5,18,99,1977,1932,2001,2010,bottom-third,
5,4,43.9,45.7,-1.8,21,96,1977,1932,2001,2010,bottom-third,1926
6,5,49.4,50.6,-1.2,24,93,1977,1932,2001,2010,bottom-third,"1959,1981"
7,6,54.5,54.8,-0.3,49,68,1977,1932,2010,2008,normal,"1980,1998"
8,7,58.1,58.0,0.1,59,61,1977,1932,2010,2008,normal,"1897,1924,1954"
9,8,60.7,60.0,0.7,81,36,1977,1932,2010,2008,top-third,"1939,1995,2007"
10,9,61.6,60.7,0.9,91,26,1977,1932,2010,2008,top-third,"1949,1954,1987,2002"
11,10,61.5,60.4,1.1,94,23,1977,1932,2010,2008,top-third,"1897,1909,1914,1972,1974"
12,11,60.2,59.3,0.9,89,28,1977,"2008,1922",2010,2008,top-third,"1903,1987,2000"
13,12,58.0,57.7,0.3,72,45,1918,1922,2010,2008,normal,"1946,1952,1960,1972"
