,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.88,4.89,-0.01,70,48,1986,1937,2011,2010,normal,1936
3,2,11.17,9.83,1.34,84,34,1986,1937,2011,2010,top-third,
4,3,18.73,13.89,4.84,104,14,1914,1949,2011,1991,top-third,
5,4,21.28,16.96,4.32,99,19,1940,1937,2011,2005,top-third,
6,5,27.84,20.36,7.48,108,10,1940,1937,2011,1978,top-tenth,
7,6,29.42,24.21,5.21,99,19,1940,1916,2011,2010,top-third,
8,7,32.59,28.60,3.99,91,27,1940,1916,2011,2010,top-third,1979
9,8,38.27,32.90,5.37,96,22,1931,1950,2011,2010,top-third,
10,9,43.29,37.32,5.97,97,21,1914,1916,2011,2010,top-third,
11,10,53.12,41.82,11.30,114,4,1931,1974,2011,2010,top-tenth,
12,11,60.08,47.26,12.82,116,2,1931,1974,2011,1974,top-tenth,
13,12,64.29,51.73,12.56,116,2,1931,1974,2011,1974,top-tenth,
