,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,50.5,45.4,5.1,104,14,1940,1907,2011,2006,top-third,
3,2,48.3,46.2,2.1,94,24,1984,1907,2011,2006,top-third,1965
4,3,51.2,49.0,2.2,98,20,1977,1923,2011,2006,top-third,"1965,1972"
5,4,55.1,53.3,1.8,99,19,1977,1935,2011,2008,top-third,1972
6,5,59.7,57.8,1.9,106,12,1977,1934,2011,2008,top-tenth,"1989,2008"
7,6,64.4,61.8,2.6,113,5,1977,1934,2011,2006,top-tenth,2006
8,7,67.6,64.7,2.9,116,2,1977,1999,2011,1999,top-tenth,
9,8,69.8,66.6,3.2,117,1,1977,2012,2011,,highest,
10,9,70.3,67.2,3.1,116,2,1977,1999,2011,1999,top-tenth,
11,10,70.3,67.0,3.3,117,1,1977,2012,2011,,highest,
12,11,69.5,66.0,3.5,117,1,1977,2012,2011,,highest,
13,12,67.8,64.6,3.2,117,1,1977,2012,2011,,highest,
