,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.55,1.49,0.06,68,49,1909,1932,2009,2010,normal,
3,2,2.28,3.26,-0.98,29,88,1971,1992,2009,2010,bottom-third,
4,3,3.32,5.07,-1.75,22,95,1971,1992,2009,2010,bottom-third,
5,4,4.08,7.59,-3.51,12,105,1918,2001,2009,2010,bottom-tenth,
6,5,8.39,10.56,-2.17,33,84,1918,1992,2009,2010,bottom-third,
7,6,9.67,12.90,-3.23,22,95,1918,1975,2006,2010,bottom-third,
8,7,14.79,15.27,-0.48,50,67,1918,1920,2009,2010,normal,
9,8,17.57,18.10,-0.53,49,68,1918,1920,2009,2010,normal,
10,9,19.84,21.48,-1.64,39,78,1918,1920,2009,2010,bottom-third,
11,10,22.53,23.87,-1.34,45,72,1918,1920,2009,2010,normal,
12,11,24.40,25.54,-1.14,46,71,1957,1920,2009,2010,normal,
13,12,26.99,27.14,-0.15,56,61,1918,1920,2009,2010,normal,
