,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,31.0,25.3,5.7,109,9,1937,2003,2011,2005,top-tenth,1934
3,2,28.9,26.2,2.7,87,31,1898,1981,2010,2011,top-third,
4,3,31.3,29.5,1.8,90,28,1949,1981,2011,2009,top-third,
5,4,36.0,34.3,1.7,92,26,1917,1934,2011,2011,top-third,"1902,1982,1998,2011"
6,5,41.4,39.6,1.8,91,27,1917,1934,2010,2011,top-third,1982
7,6,46.6,44.5,2.1,103,15,1917,1934,2011,2009,top-third,"1918,1953,1999"
8,7,50.2,48.4,1.8,99,19,1917,1934,2011,2009,top-third,
9,8,51.9,50.3,1.6,96,22,1917,1934,2011,2011,top-third,"1918,2006,2011"
10,9,51.7,50.8,0.9,83,35,1917,2003,2011,2011,top-third,"1902,1943,2011"
11,10,50.9,50.3,0.6,74,44,1913,1935,2010,2011,normal,"1923,1988"
12,11,49.9,49.1,0.8,86,32,1913,1935,2011,2009,top-third,"1987,1991"
13,12,48.1,47.5,0.6,78,40,"1913,1904,1924",1935,1994,2011,normal,"1954,1967"
