,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.97,1.22,-0.25,48,70,1919,1916,2011,2010,normal,"1938,1965"
3,2,1.48,2.32,-0.84,23,95,1931,1916,2007,2011,bottom-third,1928
4,3,2.38,3.39,-1.01,26,92,1977,1907,2007,2011,bottom-third,1924
5,4,3.80,4.60,-0.80,41,77,1977,2005,2003,2011,normal,
6,5,4.76,5.66,-0.90,33,85,1977,2005,2002,2011,bottom-third,
7,6,5.72,6.86,-1.14,36,82,1977,2005,2010,2011,bottom-third,
8,7,7.44,7.86,-0.42,54,64,1977,1910,2010,2011,normal,
9,8,7.98,8.58,-0.60,45,73,1977,2005,2010,2011,normal,
10,9,10.79,9.73,1.06,85,33,1959,1909,2010,2011,top-third,
11,10,12.81,10.97,1.84,96,22,1959,1942,2010,2011,top-third,
12,11,14.08,12.32,1.76,95,23,1977,1907,2010,2011,top-third,
13,12,15.29,13.52,1.77,90,28,1957,1907,2010,2011,top-third,
