,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,21.4,15.3,6.1,102,16,1970,1932,2011,2008,top-third,
3,2,24.7,17.8,6.9,111,7,1918,2002,2011,2007,top-tenth,
4,3,29.8,22.9,6.9,114,4,1918,2002,2011,2007,top-tenth,
5,4,34.3,28.5,5.8,115,3,1918,2002,2011,2002,top-tenth,
6,5,39.6,34.0,5.6,116,2,1918,2002,2011,2002,top-tenth,
7,6,44.0,38.9,5.1,116,2,1918,2002,2011,2002,top-tenth,
8,7,47.5,42.8,4.7,117,1,"1905,1918",2012,2011,,highest,
9,8,49.3,45.1,4.2,116,2,"1918,1905",2006,2011,2006,top-tenth,
10,9,50.1,45.8,4.3,117,1,1918,2012,2011,,highest,
11,10,49.2,45.2,4.0,117,1,1918,2012,2011,,highest,
12,11,47.2,43.6,3.6,117,1,1918,2012,2011,,highest,
13,12,44.8,41.3,3.5,117,1,1918,"1999,2012",2011,1999,highest,1999
