,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.95,2.95,0.00,65,53,1981,1979,2011,2007,normal,
3,2,6.51,6.07,0.44,72,46,1981,1978,2011,2009,normal,
4,3,8.57,9.72,-1.15,40,78,1905,1928,2002,2011,normal,
5,4,13.05,13.24,-0.19,66,52,1905,1928,2005,2011,normal,
6,5,19.16,17.12,2.04,84,34,1965,1978,2010,2011,top-third,
7,6,29.24,21.11,8.13,112,6,1931,1978,2011,2006,top-tenth,
8,7,32.67,25.25,7.42,110,8,1931,2006,2011,2009,top-tenth,
9,8,37.63,29.19,8.44,111,7,1909,2006,2011,2009,top-tenth,
10,9,44.40,32.80,11.60,116,2,1965,2007,2011,2007,top-tenth,
11,10,50.62,36.04,14.58,117,1,2002,2012,2011,,highest,
12,11,55.32,39.10,16.22,117,1,1909,2012,2011,,highest,
13,12,58.88,41.67,17.21,117,1,1965,2012,2011,,highest,
