,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,32.1,34.8,-2.7,29,88,1977,1950,2004,2010,bottom-third,"1945,2004"
3,2,31.1,35.8,-4.7,9,108,1918,1932,1982,2010,bottom-tenth,
4,3,36.2,39.1,-2.9,15,102,1918,1932,2001,2010,bottom-third,"1911,1996"
5,4,41.6,43.4,-1.8,22,95,1918,1932,2001,2010,bottom-third,"1912,1938,1996"
6,5,47.3,48.1,-0.8,30,87,1918,1932,2001,2010,bottom-third,"1912,1926,1988"
7,6,52.1,52.3,-0.2,45,72,1918,1932,2009,2010,normal,"1897,1929,1930,1948"
8,7,55.8,55.5,0.3,70,47,1918,1932,2010,2008,normal,"1903,1906,1909,1928,1976,1985"
9,8,58.3,57.4,0.9,87,30,1918,1932,2010,2008,top-third,
10,9,59.2,58.1,1.1,96,21,1918,1932,2010,2008,top-third,"1913,1933,1947"
11,10,59.1,57.7,1.4,103,14,1918,1932,2010,2008,top-third,"1960,1974"
12,11,58.1,56.5,1.6,107,10,1918,1932,2010,2008,top-tenth,"1901,1947,1991,2007"
13,12,55.9,54.8,1.1,94,23,1918,1999,2010,2008,top-third,"2000,2003"
