,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.26,3.35,-1.09,26,92,1981,1937,2011,2010,bottom-third,"1904,2001"
3,2,5.89,6.57,-0.68,47,71,1981,1937,2011,2010,normal,
4,3,9.75,9.44,0.31,72,46,1981,2010,2011,2010,normal,
5,4,13.53,12.59,0.94,79,39,2001,1978,2011,2010,top-third,
6,5,20.36,16.12,4.24,102,16,1934,1978,2011,2010,top-third,
7,6,25.50,20.45,5.05,107,11,1931,2010,2011,2010,top-tenth,
8,7,29.66,24.96,4.70,102,16,1931,1997,2011,2010,top-third,
9,8,32.94,28.93,4.01,97,21,1931,2004,2011,2010,top-third,
10,9,37.27,32.76,4.51,98,20,1931,2004,2011,2010,top-third,
11,10,42.02,36.11,5.91,103,15,1931,2004,2011,2010,top-third,
12,11,47.30,39.89,7.41,107,11,1931,2004,2011,2010,top-tenth,
13,12,48.98,42.94,6.04,105,13,1931,2004,2011,2010,top-third,
