,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,6.53,6.06,0.47,66,51,1985,1953,2010,2006,normal,
3,2,14.24,12.58,1.66,80,37,1977,1934,2010,2008,top-third,
4,3,20.02,18.71,1.31,72,45,1977,1974,2010,2007,normal,
5,4,24.31,22.40,1.91,71,46,1977,1974,2010,2007,normal,
6,5,27.77,24.36,3.41,86,31,1977,1934,2010,2007,top-third,
7,6,28.51,25.39,3.12,81,36,1977,1934,2010,2007,top-third,
8,7,28.92,26.28,2.64,78,39,1977,1934,2010,2007,top-third,"1919,1938"
9,8,32.20,28.17,4.03,91,26,1977,1934,2010,2006,top-third,
10,9,36.48,30.42,6.06,104,13,1977,1934,2010,2006,top-third,
11,10,40.52,33.25,7.27,108,9,1977,1997,2010,1997,top-tenth,
12,11,44.24,37.41,6.83,104,13,1977,1934,2010,2006,top-third,
13,12,47.62,42.15,5.47,97,20,1930,1997,2010,2000,top-third,
