,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,12.3,12.4,-0.1,51,66,1912,2006,2009,2010,normal,1911
3,2,14.6,15.4,-0.8,46,71,1977,2002,2009,2010,normal,1976
4,3,21.4,20.7,0.7,62,55,1977,2002,2009,2010,normal,1961
5,4,28.4,27.3,1.1,76,41,1977,2002,2009,2010,normal,"1950,1955,1980"
6,5,34.1,33.4,0.7,69,48,1977,1932,2009,2010,normal,"1908,1924,1991"
7,6,40.2,38.9,1.3,86,31,1977,1932,2009,2010,top-third,"1940,1948"
8,7,44.7,43.2,1.5,94,23,1977,1932,2010,2008,top-third,"1923,2003,2004"
9,8,47.2,45.8,1.4,92,25,1918,1932,2010,2008,top-third,"1922,1944,1974,1988"
10,9,48.4,46.8,1.6,97,20,1918,1932,2010,2008,top-third,"1940,1964,1988"
11,10,48.6,46.4,2.2,107,10,1918,1932,2010,2007,top-tenth,1901
12,11,47.5,44.7,2.8,111,6,1918,1932,2010,2007,top-tenth,
13,12,45.3,42.4,2.9,109,8,1918,1932,2010,2007,top-tenth,
