,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.91,1.15,-0.24,55,62,1981,1969,2010,2008,normal,
3,2,2.63,2.42,0.21,67,50,1961,1969,2006,2010,normal,
4,3,4.34,4.40,-0.06,59,58,1977,1935,2010,2009,normal,
5,4,6.68,6.83,-0.15,55,62,1977,1983,2009,2010,normal,
6,5,12.99,10.60,2.39,93,24,1977,1935,2010,1993,top-third,
7,6,17.63,14.39,3.24,98,19,1977,1960,2010,2008,top-third,
8,7,25.13,18.22,6.91,114,3,1977,1901,2010,1973,top-tenth,
9,8,32.25,22.35,9.90,116,1,1977,2011,2010,,highest,
10,9,35.40,25.86,9.54,116,1,1977,2011,2010,,highest,
11,10,37.74,28.49,9.25,115,2,1977,1969,2010,1969,top-tenth,
12,11,38.47,30.29,8.18,114,3,1977,1969,2010,1969,top-tenth,
13,12,39.04,31.32,7.72,113,4,1911,1939,2010,1969,top-tenth,
