,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,34.9,30.6,4.3,95,23,1977,1950,2011,2007,top-third,1934
3,2,36.7,31.9,4.8,108,10,1918,1932,2011,2007,top-tenth,1913
4,3,40.0,35.3,4.7,112,6,1977,1932,2011,2007,top-tenth,
5,4,43.1,39.8,3.3,111,7,1977,1932,2011,2002,top-tenth,
6,5,47.5,44.7,2.8,110,8,1977,1932,2011,2008,top-tenth,"1901,1937,2002"
7,6,51.5,49.0,2.5,106,12,1977,1932,2011,2008,top-tenth,
8,7,54.8,52.3,2.5,112,6,1977,1932,2011,2006,top-tenth,
9,8,56.7,54.3,2.4,112,6,1977,1932,2011,2006,top-tenth,1974
10,9,57.3,54.9,2.4,113,5,1977,1932,2011,1950,top-tenth,
11,10,57.0,54.5,2.5,116,2,1977,1932,2011,1932,top-tenth,
12,11,55.7,53.3,2.4,116,2,1918,1932,2011,1932,top-tenth,
13,12,54.2,51.6,2.6,116,2,1918,1932,2011,1932,top-tenth,
