,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.25,3.63,-1.38,22,95,1981,1937,2000,2010,bottom-third,
3,2,5.82,7.05,-1.23,39,78,1981,1979,2007,2010,bottom-third,
4,3,8.67,10.13,-1.46,33,84,1940,1979,2007,2010,bottom-third,
5,4,11.26,13.10,-1.84,33,84,1931,1920,2002,2010,bottom-third,
6,5,13.87,16.33,-2.46,28,89,1931,2004,2002,2010,bottom-third,
7,6,17.35,20.49,-3.14,25,92,1931,1927,2002,2010,bottom-third,
8,7,22.18,25.21,-3.03,25,92,1931,2004,2002,2010,bottom-third,
9,8,26.74,29.58,-2.84,26,91,1931,2004,2002,2010,bottom-third,
10,9,32.30,33.72,-1.42,43,74,1931,2004,2008,2010,normal,
11,10,34.31,37.41,-3.10,27,90,1931,2004,2000,2010,bottom-third,
12,11,37.75,41.51,-3.76,26,91,1931,2004,2000,2010,bottom-third,
13,12,41.10,44.63,-3.53,26,91,1931,2004,2002,2010,bottom-third,1956
