,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,20.3,18.4,1.9,69,48,1937,1953,2008,2010,normal,1970
3,2,22.1,19.6,2.5,92,25,1979,1981,2010,2006,top-third,"1959,1970"
4,3,24.2,22.7,1.5,86,31,1979,1981,2010,2009,top-third,"1938,1998"
5,4,30.0,27.7,2.3,102,15,1979,1934,2010,2009,top-third,"1905,2003"
6,5,35.2,32.8,2.4,105,12,1979,1934,2010,2006,top-tenth,"1911,1935"
7,6,40.0,37.9,2.1,106,11,1979,1934,2010,2006,top-tenth,"1938,2005"
8,7,43.6,41.8,1.8,101,16,1979,1934,2010,2006,top-third,"1967,1989"
9,8,45.3,43.8,1.5,96,21,1979,1934,2010,2008,top-third,"1967,1982"
10,9,45.2,44.3,0.9,86,31,1917,1934,2010,2009,top-third,"1902,1923,1939,1978"
11,10,44.6,43.8,0.8,84,33,1917,1935,2010,2008,top-third,"1902,1939"
12,11,43.6,42.4,1.2,93,24,1913,1935,2010,2008,top-third,"1961,1988"
13,12,41.8,40.8,1.0,89,28,1930,1935,2010,2008,top-third,1959
