,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,-12.8,2.4,-15.2,1,87,2012,1981,,2011,lowest,
3,2,-1.7,3.0,-4.7,12,76,1934,2001,1980,2011,bottom-third,
4,3,0.1,5.9,-5.8,5,83,1943,2001,1956,2011,bottom-tenth,
5,4,7.2,10.8,-3.6,15,73,1934,2003,2000,2011,bottom-third,2000
6,5,14.2,16.7,-2.5,16,72,1934,2003,2000,2011,bottom-third,2000
7,6,20.0,22.2,-2.2,16,72,1934,2003,1997,2011,bottom-third,
8,7,24.6,26.6,-2.0,15,73,1934,2003,1997,2011,bottom-third,
9,8,27.8,29.4,-1.6,17,71,1934,2003,1997,2011,bottom-third,1972
10,9,29.2,30.3,-1.1,22,66,1934,2003,2009,2011,bottom-third,"1932,2009"
11,10,28.6,29.6,-1.0,24,64,1956,2005,2009,2011,bottom-third,"1932,1983,2009"
12,11,27.1,27.9,-0.8,25,63,1956,2003,2000,2011,bottom-third,
13,12,25.3,26.0,-0.7,26,62,1956,1994,2009,2011,bottom-third,"1931,1983,1997"
