,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.56,2.75,-0.19,35,52,1969,1949,2010,2009,normal,
3,2,4.41,5.82,-1.41,16,71,1969,1944,2010,2009,bottom-third,
4,3,8.70,9.20,-0.50,35,52,1996,1937,2010,2009,normal,
5,4,12.88,13.58,-0.70,34,53,1969,1937,2010,2009,normal,
6,5,16.07,18.14,-2.07,19,68,1969,1926,2010,2009,bottom-third,
7,6,20.05,22.51,-2.46,14,73,1969,1926,2010,2009,bottom-third,
8,7,24.61,25.78,-1.17,28,59,1969,1926,2010,2009,bottom-third,
9,8,27.32,28.12,-0.80,31,56,1969,1926,2010,2009,normal,
10,9,28.48,30.24,-1.76,23,64,1969,1926,2010,2009,bottom-third,
11,10,30.27,32.13,-1.86,20,67,1969,1926,2010,2009,bottom-third,
12,11,32.88,34.35,-1.47,29,58,1969,1926,2010,2009,bottom-third,
13,12,34.48,36.68,-2.20,18,69,1969,1929,2010,2009,bottom-third,
