,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.79,2.75,0.04,47,41,1969,1949,2011,2009,normal,1965
3,2,7.45,5.82,1.63,73,15,1969,1944,2011,2001,top-third,
4,3,10.73,9.20,1.53,68,20,1996,1937,2011,2005,top-third,
5,4,14.89,13.58,1.31,62,26,1969,1937,2011,2005,top-third,
6,5,19.90,18.14,1.76,64,24,1969,1926,2011,2006,top-third,
7,6,25.96,22.51,3.45,77,11,1969,1926,2011,2003,top-third,
8,7,29.66,25.78,3.88,78,10,1969,1926,2011,2001,top-third,
9,8,32.24,28.12,4.12,79,9,1969,1926,2011,2001,top-tenth,
10,9,33.63,30.24,3.39,75,13,1969,1926,2011,2003,top-third,
11,10,35.28,32.13,3.15,74,14,1969,1926,2011,2007,top-third,
12,11,36.11,34.35,1.76,60,28,1969,1926,2011,2007,top-third,
13,12,38.97,36.68,2.29,65,23,1969,1929,2011,2007,top-third,
