NUMBER,MOVIE,WEEK_NUM,WEEKEND_PER_THEATER,WEEKEND_DATE
1,A Beautiful Mind,1,701,12/21/01
1,A Beautiful Mind,2,14820,12/28/01
1,A Beautiful Mind,3,8940,1/4/02
1,A Beautiful Mind,4,6850,1/11/02
1,A Beautiful Mind,5,5280,1/18/02
1,A Beautiful Mind,6,5155,1/25/02
1,A Beautiful Mind,7,3735,2/1/02
1,A Beautiful Mind,8,2840,2/8/02
1,A Beautiful Mind,9,3890,2/15/02
1,A Beautiful Mind,10,2565,2/22/02
1,A Beautiful Mind,11,2370,3/1/02
1,A Beautiful Mind,12,2160,3/8/02
1,A Beautiful Mind,13,2205,3/15/02
1,A Beautiful Mind,14,2805,3/22/02
1,A Beautiful Mind,15,2490,3/29/02
1,A Beautiful Mind,16,1805,4/5/02
1,A Beautiful Mind,17,1325,4/12/02
1,A Beautiful Mind,18,1145,4/19/02
1,A Beautiful Mind,19,1080,4/26/02
1,A Beautiful Mind,20,765,5/3/02
1,A Beautiful Mind,21,765,5/10/02
1,A Beautiful Mind,22,585,5/17/02
1,A Beautiful Mind,23,575,5/24/02
2,American Beauty,1,53846,9/17/99
2,American Beauty,2,13838,9/24/99
2,American Beauty,3,11599,10/1/99
2,American Beauty,4,7753,10/8/99
2,American Beauty,5,4895,10/15/99
2,American Beauty,6,3551,10/22/99
2,American Beauty,7,2474,10/29/99
2,American Beauty,8,2141,11/5/99
2,American Beauty,9,1876,11/12/99
2,American Beauty,10,1587,11/19/99
2,American Beauty,11,2001,11/26/99
2,American Beauty,12,1124,12/3/99
2,American Beauty,13,1014,12/10/99
2,American Beauty,14,1167,12/17/99
2,American Beauty,15,1099,12/24/99
2,American Beauty,16,1815,12/31/99
2,American Beauty,17,1998,1/7/00
2,American Beauty,18,2168,1/14/00
2,American Beauty,19,1614,1/21/00
2,American Beauty,20,2047,1/28/00
2,American Beauty,21,7523,2/4/00
2,American Beauty,22,9185,2/11/00
2,American Beauty,23,5132,2/18/00
2,American Beauty,24,3483,2/25/00
2,American Beauty,25,3010,3/3/00
2,American Beauty,26,2408,3/10/00
2,American Beauty,27,1902,3/17/00
2,American Beauty,28,2422,3/24/00
2,American Beauty,29,2717,3/31/00
2,American Beauty,30,1731,4/7/00
2,American Beauty,31,1341,4/14/00
2,American Beauty,32,1201,4/21/00
2,American Beauty,33,848,4/28/00
2,American Beauty,34,711,5/5/00
2,American Beauty,35,724,5/12/00
2,American Beauty,36,640,5/19/00
2,American Beauty,37,827,5/26/00
2,American Beauty,38,479,6/2/00
3,Batman,1,18462,6/23/89
3,Batman,2,13664,6/30/89
3,Batman,3,8745,7/7/89
3,Batman,4,6867,7/14/89
3,Batman,5,5072,7/21/89
3,Batman,6,4068,7/28/89
3,Batman,7,3235,8/4/89
3,Batman,8,2829,8/11/89
3,Batman,9,2457,8/18/89
3,Batman,10,1995,8/25/89
3,Batman,11,2634,9/1/89
3,Batman,12,1470,9/8/89
3,Batman,13,1363,9/15/89
4,Beverly Hills Cop,1,9931,12/7/84
4,Beverly Hills Cop,2,7516,12/14/84
4,Beverly Hills Cop,3,7825,12/21/84
4,Beverly Hills Cop,4,10002,12/28/84
4,Beverly Hills Cop,5,5741,1/4/85
4,Beverly Hills Cop,6,4857,1/11/85
4,Beverly Hills Cop,7,3397,1/18/85
4,Beverly Hills Cop,8,4510,1/25/85
4,Beverly Hills Cop,9,4187,2/1/85
4,Beverly Hills Cop,10,3617,2/8/85
4,Beverly Hills Cop,11,5052,2/15/85
4,Beverly Hills Cop,12,3866,2/22/85
4,Beverly Hills Cop,13,3451,3/1/85
4,Beverly Hills Cop,14,3004,3/8/85
4,Beverly Hills Cop,15,3139,3/15/85
4,Beverly Hills Cop,16,2847,3/22/85
4,Beverly Hills Cop,17,2618,3/29/85
4,Beverly Hills Cop,18,2838,4/5/85
4,Beverly Hills Cop,19,2470,4/12/85
4,Beverly Hills Cop,20,2212,4/19/85
4,Beverly Hills Cop,21,2171,4/26/85
4,Beverly Hills Cop,22,2007,5/3/85
4,Beverly Hills Cop,23,1878,5/10/85
4,Beverly Hills Cop,24,2063,5/17/85
4,Beverly Hills Cop,25,2322,5/24/85
4,Beverly Hills Cop,26,1430,5/31/85
4,Beverly Hills Cop,27,1364,6/7/85
4,Beverly Hills Cop,28,1560,6/14/85
4,Beverly Hills Cop,29,1667,6/21/85
4,Beverly Hills Cop,30,1457,6/28/85
4,Beverly Hills Cop,31,1672,7/5/85
4,Beverly Hills Cop,32,1568,7/12/85
4,Beverly Hills Cop,33,1676,7/19/85
5,Chicago,1,26947,12/27/02
5,Chicago,2,16332,1/3/03
5,Chicago,3,15721,1/10/03
5,Chicago,4,13648,1/17/03
5,Chicago,5,13375,1/24/03
5,Chicago,6,11321,1/31/03
5,Chicago,7,5859,2/7/03
5,Chicago,8,5604,2/14/03
5,Chicago,9,3499,2/21/03
5,Chicago,10,3210,2/28/03
5,Chicago,11,2633,3/7/03
5,Chicago,12,2733,3/14/03
5,Chicago,13,2408,3/21/03
5,Chicago,14,2670,3/28/03
5,Chicago,15,2131,4/4/03
5,Chicago,16,1517,4/11/03
5,Chicago,17,1462,4/18/03
5,Chicago,18,1310,4/25/03
5,Chicago,19,1186,5/2/03
5,Chicago,20,1459,5/9/03
5,Chicago,21,1102,5/16/03
5,Chicago,22,1341,5/23/03
5,Chicago,23,915,5/30/03
5,Chicago,24,748,6/6/03
5,Chicago,25,699,6/13/03
5,Chicago,26,638,6/20/03
5,Chicago,27,555,6/27/03
5,Chicago,28,683,7/4/03
5,Chicago,29,724,7/11/03
5,Chicago,30,685,7/18/03
5,Chicago,31,612,7/25/03
5,Chicago,32,541,8/1/03
5,Chicago,33,510,8/8/03
5,Chicago,34,442,8/15/03
5,Chicago,35,393,8/22/03
5,Chicago,36,449,8/29/03
6,Crash,1,4886,5/6/05
6,Crash,2,3743,5/13/05
6,Crash,3,2911,5/20/05
6,Crash,4,2773,5/27/05
6,Crash,5,2477,6/3/05
6,Crash,6,2067,6/10/05
6,Crash,7,1993,6/17/05
6,Crash,8,2095,6/24/05
6,Crash,9,1810,7/1/05
6,Crash,10,1966,7/8/05
6,Crash,11,1559,7/15/05
6,Crash,12,1373,7/22/05
6,Crash,13,1142,7/29/05
6,Crash,14,1357,8/5/05
6,Crash,15,1029,8/12/05
6,Crash,16,652,8/19/05
6,Crash,17,700,8/26/05
6,Crash,18,695,9/2/05
6,Crash,19,538,9/9/05
6,Crash,20,1958,3/10/06
6,Crash,21,1528,3/17/06
6,Crash,22,1005,3/24/06
6,Crash,23,779,3/31/06
7,"Departed, The",1,8912,10/6/06
7,"Departed, The",2,6309,10/13/06
7,"Departed, The",3,4480,10/20/06
7,"Departed, The",4,3337,10/27/06
7,"Departed, The",5,2773,11/3/06
7,"Departed, The",6,2337,11/10/06
7,"Departed, The",7,1605,11/17/06
7,"Departed, The",8,1878,11/24/06
7,"Departed, The",9,1443,12/1/06
7,"Departed, The",10,1235,12/8/06
7,"Departed, The",11,1344,12/15/06
7,"Departed, The",12,1149,12/22/06
7,"Departed, The",13,1993,12/29/06
7,"Departed, The",14,2149,1/5/07
7,"Departed, The",15,2178,1/12/07
7,"Departed, The",16,2378,1/19/07
7,"Departed, The",17,2316,1/26/07
7,"Departed, The",18,1574,2/2/07
7,"Departed, The",19,1752,2/9/07
7,"Departed, The",20,1085,2/16/07
7,"Departed, The",21,782,2/23/07
7,"Departed, The",22,1104,3/2/07
7,"Departed, The",23,852,3/9/07
7,"Departed, The",24,429,3/16/07
8,"Empire Strikes Back, The",1,38972,5/23/80
8,"Empire Strikes Back, The",2,34443,6/6/80
8,"Empire Strikes Back, The",3,28619,6/13/80
8,"Empire Strikes Back, The",4,13172,6/20/80
8,"Empire Strikes Back, The",5,11228,6/27/80
8,"Empire Strikes Back, The",6,9443,7/4/80
8,"Empire Strikes Back, The",7,7754,7/11/80
8,"Empire Strikes Back, The",8,6172,7/18/80
8,"Empire Strikes Back, The",9,5579,7/25/80
8,"Empire Strikes Back, The",10,5056,8/1/80
8,"Empire Strikes Back, The",11,3811,8/8/80
8,"Empire Strikes Back, The",12,3577,8/15/80
8,"Empire Strikes Back, The",13,5133,7/31/81
8,"Empire Strikes Back, The",14,2910,8/7/81
8,"Empire Strikes Back, The",15,2144,8/14/81
9,ET,1,10819,6/11/82
9,ET,2,11314,6/18/82
9,ET,3,11015,6/25/82
9,ET,4,13042,7/2/82
9,ET,5,9036,7/9/82
9,ET,6,8626,7/16/82
9,ET,7,7428,7/23/82
9,ET,8,6811,7/30/82
9,ET,9,6234,8/6/82
9,ET,10,4896,8/13/82
9,ET,11,4501,8/20/82
9,ET,12,4065,8/27/82
9,ET,13,5148,9/3/82
9,ET,14,3351,9/10/82
9,ET,15,3351,9/17/82
9,ET,16,3189,9/24/82
9,ET,17,3149,10/1/82
9,ET,18,3474,10/8/82
9,ET,19,2725,10/15/82
9,ET,20,2960,10/22/82
9,ET,21,2816,10/29/82
9,ET,22,3092,11/5/82
9,ET,23,3087,11/12/82
9,ET,24,2819,11/19/82
9,ET,25,3461,11/26/82
9,ET,26,2393,12/3/82
9,ET,27,2142,12/10/82
9,ET,28,2724,12/17/82
9,ET,29,3089,12/24/82
9,ET,30,4291,12/31/82
9,ET,31,3086,1/7/83
9,ET,32,2701,1/14/83
9,ET,33,2632,1/21/83
9,ET,34,2702,1/28/83
9,ET,35,2365,2/4/83
9,ET,36,1798,2/11/83
9,ET,37,2905,2/18/83
9,ET,38,1979,2/25/83
9,ET,39,1659,3/4/83
9,ET,40,1700,3/11/83
9,ET,41,2031,3/18/83
9,ET,42,1788,3/25/83
9,ET,43,1616,4/1/83
9,ET,44,1936,4/8/83
9,ET,45,2289,4/15/83
9,ET,46,1851,4/22/83
9,ET,47,1748,4/29/83
9,ET,48,1412,5/6/83
9,ET,49,1504,5/13/83
9,ET,50,2030,5/20/83
9,ET,51,2622,5/27/83
9,ET,52,1855,6/3/83
10,Forrest Gump,1,15330,7/8/94
10,Forrest Gump,2,11979,7/15/94
10,Forrest Gump,3,10473,7/22/94
10,Forrest Gump,4,8597,7/29/94
10,Forrest Gump,5,6573,8/5/94
10,Forrest Gump,6,6418,8/12/94
10,Forrest Gump,7,5044,8/19/94
10,Forrest Gump,8,4424,8/26/94
10,Forrest Gump,9,5441,9/2/94
10,Forrest Gump,10,2942,9/9/94
10,Forrest Gump,11,2575,9/16/94
10,Forrest Gump,12,2308,9/23/94
10,Forrest Gump,13,1851,9/30/94
10,Forrest Gump,14,1700,10/7/94
10,Forrest Gump,15,1581,10/14/94
10,Forrest Gump,16,1492,10/21/94
10,Forrest Gump,17,1178,10/28/94
10,Forrest Gump,18,1472,11/4/94
10,Forrest Gump,19,1320,11/11/94
10,Forrest Gump,20,1113,11/18/94
10,Forrest Gump,21,1843,11/25/94
10,Forrest Gump,22,951,12/2/94
10,Forrest Gump,23,802,12/9/94
10,Forrest Gump,24,840,12/16/94
10,Forrest Gump,25,1927,12/23/94
10,Forrest Gump,26,3749,12/30/94
10,Forrest Gump,27,2038,1/6/95
10,Forrest Gump,28,2224,1/13/95
10,Forrest Gump,29,2768,2/17/95
10,Forrest Gump,30,2131,2/24/95
10,Forrest Gump,31,1841,3/3/95
10,Forrest Gump,32,1636,3/10/95
10,Forrest Gump,33,1435,3/17/95
10,Forrest Gump,34,1775,3/24/95
10,Forrest Gump,35,2335,3/31/95
10,Forrest Gump,36,1516,4/7/95
10,Forrest Gump,37,1243,4/14/95
10,Forrest Gump,38,1209,4/21/95
10,Forrest Gump,39,942,4/28/95
10,Forrest Gump,40,685,5/5/95
10,Forrest Gump,41,447,5/12/95
10,Forrest Gump,42,386,5/19/95
11,Ghost Busters,1,10166,6/8/84
11,Ghost Busters,2,10336,6/15/84
11,Ghost Busters,3,8867,6/22/84
11,Ghost Busters,4,7651,6/29/84
11,Ghost Busters,5,7662,7/6/84
11,Ghost Busters,6,6818,7/13/84
11,Ghost Busters,7,5950,7/20/84
11,Ghost Busters,8,5265,7/27/84
11,Ghost Busters,9,4537,8/3/84
11,Ghost Busters,10,4167,8/10/84
11,Ghost Busters,11,3987,8/17/84
11,Ghost Busters,12,3505,8/24/84
11,Ghost Busters,13,4989,8/31/84
11,Ghost Busters,14,2691,9/7/84
11,Ghost Busters,15,2275,9/14/84
11,Ghost Busters,16,2068,9/21/84
11,Ghost Busters,17,1902,9/28/84
11,Ghost Busters,18,1930,10/5/84
11,Ghost Busters,19,1577,10/12/84
11,Ghost Busters,20,1701,10/19/84
11,Ghost Busters,21,1363,10/26/84
11,Ghost Busters,22,1525,11/2/84
11,Ghost Busters,23,2869,11/9/84
11,Ghost Busters,24,1301,11/16/84
11,Ghost Busters,25,1453,11/23/84
11,Ghost Busters,26,1346,11/30/84
11,Ghost Busters,27,780,12/7/84
11,Ghost Busters,28,678,12/14/84
11,Ghost Busters,29,1249,12/21/84
11,Ghost Busters,30,2932,12/28/84
12,Gladiator,1,11851,5/5/00
12,Gladiator,2,8374,5/12/00
12,Gladiator,3,6494,5/19/00
12,Gladiator,4,5353,5/26/00
12,Gladiator,5,2741,6/2/00
12,Gladiator,6,2614,6/9/00
12,Gladiator,7,2366,6/16/00
12,Gladiator,8,2126,6/23/00
12,Gladiator,9,1720,6/30/00
12,Gladiator,10,1677,7/7/00
