education,urban,gender,engnat,age,hand,religion,voted,married,familysize,major,subject_id
3.0,2.0,2.0,1.0,69.0,1.0,6.0,1.0,3.0,4.0,Studio Art,0
4.0,2.0,2.0,1.0,50.0,1.0,1.0,1.0,1.0,3.0,biophysics,1
3.0,1.0,2.0,2.0,22.0,1.0,1.0,1.0,1.0,2.0,biology,2
4.0,3.0,1.0,1.0,44.0,1.0,2.0,2.0,3.0,4.0,Mathematics,3
1.0,1.0,2.0,1.0,17.0,1.0,7.0,2.0,1.0,1.0,,4
2.0,3.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,3.0,Geology,5
2.0,2.0,1.0,1.0,18.0,2.0,1.0,2.0,1.0,2.0,,6
2.0,2.0,2.0,1.0,21.0,1.0,12.0,1.0,1.0,3.0,,7
3.0,2.0,2.0,1.0,25.0,1.0,7.0,2.0,1.0,4.0,psychology,8
1.0,2.0,3.0,2.0,17.0,1.0,1.0,2.0,1.0,3.0,,9
2.0,1.0,3.0,1.0,15.0,1.0,2.0,2.0,1.0,1.0,,10
2.0,2.0,2.0,1.0,18.0,1.0,6.0,2.0,1.0,2.0,,11
3.0,2.0,1.0,1.0,53.0,1.0,3.0,2.0,2.0,2.0,Allied Medical Technology,12
4.0,1.0,2.0,2.0,21.0,2.0,4.0,2.0,1.0,2.0,English,13
3.0,1.0,1.0,1.0,31.0,2.0,2.0,2.0,2.0,2.0,information technology,14
2.0,2.0,2.0,1.0,39.0,1.0,2.0,2.0,3.0,1.0,Digital Media,15
0.0,3.0,2.0,2.0,16.0,1.0,2.0,2.0,1.0,0.0,psychology,16
2.0,2.0,1.0,2.0,20.0,1.0,10.0,2.0,1.0,4.0,Chemical engineering,17
2.0,3.0,2.0,1.0,24.0,1.0,6.0,2.0,1.0,7.0,,18
1.0,2.0,2.0,2.0,15.0,1.0,2.0,2.0,1.0,2.0,,19
2.0,2.0,2.0,1.0,29.0,1.0,4.0,2.0,2.0,1.0,Psychology,20
3.0,1.0,2.0,1.0,44.0,1.0,6.0,1.0,2.0,6.0,Information Technology,21
2.0,3.0,2.0,1.0,20.0,1.0,2.0,2.0,1.0,3.0,chemical engineering,22
2.0,1.0,1.0,2.0,21.0,1.0,12.0,1.0,1.0,1.0,Computer science,23
1.0,3.0,2.0,1.0,17.0,1.0,2.0,2.0,1.0,5.0,Business ,24
2.0,2.0,1.0,2.0,41.0,1.0,2.0,1.0,1.0,1.0,,25
1.0,2.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,3.0,,26
3.0,2.0,1.0,1.0,50.0,2.0,2.0,2.0,1.0,2.0,Math,27
2.0,2.0,2.0,1.0,18.0,1.0,2.0,2.0,1.0,3.0,,28
