subject_id,variable,value
1,education,4.0
2,education,3.0
5,education,2.0
6,education,2.0
7,education,2.0
8,education,3.0
9,education,1.0
10,education,2.0
14,education,3.0
15,education,2.0
19,education,1.0
22,education,2.0
26,education,1.0
27,education,3.0
29,education,1.0
36,education,2.0
38,education,4.0
39,education,2.0
42,education,1.0
44,education,2.0
45,education,1.0
46,education,3.0
47,education,2.0
48,education,2.0
49,education,3.0
50,education,2.0
53,education,4.0
54,education,2.0
55,education,3.0
56,education,4.0
57,education,1.0
58,education,3.0
61,education,2.0
62,education,1.0
65,education,3.0
66,education,3.0
69,education,2.0
70,education,3.0
71,education,3.0
72,education,1.0
75,education,0.0
76,education,1.0
77,education,2.0
79,education,1.0
84,education,0.0
85,education,3.0
89,education,2.0
91,education,3.0
93,education,2.0
95,education,4.0
96,education,2.0
97,education,0.0
98,education,3.0
103,education,2.0
104,education,2.0
105,education,2.0
107,education,1.0
108,education,1.0
110,education,2.0
114,education,3.0
115,education,3.0
118,education,2.0
119,education,2.0
125,education,2.0
126,education,3.0
128,education,4.0
132,education,1.0
135,education,2.0
136,education,2.0
140,education,1.0
142,education,1.0
144,education,4.0
148,education,3.0
149,education,2.0
152,education,2.0
153,education,4.0
154,education,2.0
155,education,1.0
156,education,1.0
157,education,3.0
159,education,3.0
161,education,3.0
163,education,1.0
164,education,2.0
166,education,3.0
167,education,3.0
168,education,4.0
169,education,3.0
172,education,3.0
175,education,2.0
180,education,2.0
182,education,1.0
183,education,2.0
188,education,2.0
190,education,4.0
193,education,3.0
194,education,2.0
202,education,3.0
203,education,1.0
204,education,3.0
205,education,2.0
206,education,3.0
207,education,1.0
209,education,2.0
211,education,3.0
212,education,1.0
213,education,2.0
215,education,1.0
216,education,2.0
219,education,3.0
220,education,2.0
222,education,2.0
223,education,1.0
224,education,2.0
229,education,3.0
230,education,1.0
231,education,2.0
237,education,2.0
239,education,2.0
240,education,2.0
241,education,2.0
243,education,4.0
244,education,1.0
247,education,3.0
248,education,2.0
253,education,3.0
256,education,2.0
257,education,2.0
262,education,1.0
263,education,2.0
264,education,3.0
266,education,2.0
267,education,3.0
268,education,2.0
269,education,2.0
275,education,2.0
276,education,3.0
277,education,2.0
279,education,2.0
280,education,3.0
281,education,3.0
283,education,2.0
285,education,1.0
286,education,2.0
289,education,0.0
290,education,3.0
292,education,2.0
293,education,2.0
294,education,2.0
295,education,3.0
299,education,2.0
300,education,2.0
302,education,3.0
303,education,3.0
304,education,4.0
305,education,1.0
307,education,3.0
309,education,2.0
310,education,2.0
311,education,2.0
320,education,2.0
