race_white,race_nerdy,race_native_american,writing_novel,read_tech_reports,online_over_inperson,introspective,hobbies_over_people,books_over_parties,bookish,libraries_over_publicspace,race_native_austrailian,like_hard_material,race_hispanic,diagnosed_autistic,play_many_videogames,race_arab,race_asian,interested_science,playes_rpgs,in_advanced_classes,collect_books,intelligence_over_appearance,watch_science_shows,academic_over_social,like_science_fiction,like_dry_topics,race_black,calm,disorganized,extraverted,dependable,critical,opennness,anxious,sympathetic,reserved,conventional,was_odd_child,prefer_fictional_people,enjoy_learning,excited_about_research,strange_person,like_superheroes,socially_awkward,subject_id
1.0,0.0,0.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,0.0,7.0,1.0,1.0,7.0,1.0,6.0,1.0,7.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
1.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,5.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,1.0,0.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1
1.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2.0,6.0,1.0,3.0,6.0,6.0,7.0,2.0,7.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2
1.0,0.0,0.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,7.0,1.0,7.0,7.0,2.0,7.0,4.0,6.0,2.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,3
1.0,0.0,0.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,6.0,5.0,2.0,4.0,5.0,7.0,3.0,5.0,6.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,0.0,4
1.0,0.0,0.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,0.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,5
0.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,1.0,6.0,5.0,3.0,2.0,1.0,7.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,6
1.0,0.0,0.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,0.0,1.0,7.0,3.0,5.0,6.0,6.0,7.0,6.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,7
0.0,0.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,2.0,4.0,0.0,3.0,4.0,5.0,1.0,3.0,7.0,1.0,5.0,1.0,5.0,5.0,7.0,7.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,8
0.0,0.0,0.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,0.0,5.0,7.0,5.0,3.0,6.0,6.0,6.0,4.0,7.0,2.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,9
1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,5.0,1.0,6.0,5.0,7.0,7.0,7.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,10
