subject_id,academic_over_social,age,anxious,bookish,books_over_parties,calm,collect_books,conventional,critical,dependable,diagnosed_autistic,disorganized,education,engnat,enjoy_learning,excited_about_research,extraverted,familysize,gender,hand,hobbies_over_people,in_advanced_classes,intelligence_over_appearance,interested_science,introspective,libraries_over_publicspace,like_dry_topics,like_hard_material,like_science_fiction,like_superheroes,major,married,online_over_inperson,opennness,play_many_videogames,playes_rpgs,prefer_fictional_people,race_arab,race_asian,race_black,race_hispanic,race_native_american,race_native_austrailian,race_nerdy,race_white,read_tech_reports,religion,reserved,socially_awkward,strange_person,sympathetic,urban,voted,was_odd_child,watch_science_shows,writing_novel
0,5.0,,1.0,5.0,5.0,7.0,5.0,1.0,1.0,7.0,2.0,1.0,,,5.0,5.0,1.0,,,,4.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,,,4.0,6.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,7.0,5.0,5.0,7.0,,,5.0,5.0,3.0
1,2.0,50.0,4.0,4.0,4.0,6.0,5.0,1.0,3.0,5.0,2.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,1.0,3.0,4.0,4.0,biophysics,1.0,3.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,1.0,3.0,5.0,1.0
2,5.0,22.0,7.0,5.0,5.0,2.0,5.0,1.0,6.0,3.0,2.0,6.0,3.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,biology,1.0,5.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,4.0
3,5.0,,4.0,4.0,5.0,7.0,5.0,1.0,2.0,7.0,2.0,1.0,,,1.0,5.0,7.0,,,,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,,,5.0,7.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,2.0,5.0,5.0,6.0,,,5.0,5.0,4.0
4,4.0,,3.0,5.0,5.0,6.0,4.0,2.0,5.0,4.0,2.0,5.0,,,4.0,4.0,2.0,,,,4.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,,,5.0,7.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,6.0,0.0,5.0,5.0,,,5.0,4.0,1.0
5,4.0,18.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,Geology,1.0,3.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,3.0
6,4.0,18.0,1.0,4.0,5.0,6.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,5.0,3.0,,1.0,3.0,7.0,3.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,1.0
7,3.0,21.0,7.0,3.0,5.0,1.0,5.0,4.0,6.0,5.0,2.0,7.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,,1.0,4.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,5.0,5.0,5.0,6.0,2.0,1.0,3.0,3.0,3.0
8,3.0,25.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,7.0,3.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,psychology,1.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,3.0,4.0,7.0,2.0,2.0,3.0,0.0,5.0
9,3.0,17.0,6.0,4.0,5.0,5.0,4.0,2.0,6.0,3.0,2.0,7.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,,1.0,5.0,6.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0
10,5.0,15.0,7.0,5.0,5.0,1.0,5.0,1.0,5.0,6.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,5.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,5.0,7.0,1.0,2.0,5.0,5.0,5.0
11,4.0,,6.0,4.0,5.0,3.0,2.0,2.0,1.0,7.0,2.0,4.0,,,5.0,4.0,2.0,,,,4.0,3.0,2.0,4.0,5.0,1.0,5.0,4.0,2.0,2.0,,,4.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,6.0,2.0,4.0,7.0,,,4.0,1.0,1.0
12,3.0,,1.0,4.0,4.0,7.0,4.0,2.0,6.0,6.0,2.0,3.0,,,4.0,5.0,4.0,,,,1.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,5.0,,,5.0,6.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,6.0,5.0,4.0,3.0,,,3.0,5.0,1.0
13,5.0,,7.0,5.0,0.0,6.0,5.0,2.0,5.0,7.0,2.0,6.0,,,0.0,5.0,3.0,,,,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,,,5.0,7.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,3.0,5.0,5.0,7.0,,,0.0,5.0,5.0
14,2.0,31.0,3.0,1.0,3.0,6.0,4.0,2.0,6.0,6.0,2.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,information technology,2.0,4.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0
15,4.0,39.0,2.0,2.0,5.0,5.0,5.0,3.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,5.0,5.0,Digital Media,3.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,1.0
16,4.0,,2.0,5.0,3.0,2.0,4.0,2.0,3.0,6.0,2.0,7.0,,,3.0,5.0,1.0,,,,5.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,4.0,1.0,,,4.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,,5.0,4.0,3.0,7.0,,,4.0,4.0,3.0
17,2.0,,2.0,3.0,3.0,7.0,4.0,4.0,4.0,5.0,2.0,2.0,,,1.0,1.0,2.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,,,5.0,5.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,7.0,5.0,3.0,5.0,,,5.0,5.0,5.0
18,4.0,,5.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,2.0,5.0,,,3.0,5.0,1.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,,,5.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,7.0,3.0,4.0,6.0,,,2.0,3.0,5.0
19,4.0,15.0,6.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,1.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,,1.0,4.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,2.0
