pos,word,pos_score,neg_score
adj,.22-caliber,0.0,0.0
adj,.22-calibre,0.0,0.0
adj,.22_caliber,0.0,0.0
adj,.22_calibre,0.0,0.0
adj,.38-caliber,0.0,0.0
adj,.38-calibre,0.0,0.0
adj,.38_caliber,0.0,0.0
adj,.38_calibre,0.0,0.0
adj,.45-caliber,0.0,0.0
adj,.45-calibre,0.0,0.0
adj,.45_caliber,0.0,0.0
adj,.45_calibre,0.0,0.0
adj,0,0.0,0.5
adj,1,0.0,0.25
adj,10,0.0,0.0
adj,10-membered,0.0,0.0
adj,100,0.0,0.0
adj,1000,0.0,0.0
adj,1000th,0.0,0.0
adj,100th,0.0,0.0
adj,101,0.0,0.25
adj,101st,0.0,0.0
adj,105,0.0,0.25
adj,105th,0.0,0.0
adj,10th,0.0,0.0
adj,11,0.0,0.0
adj,110,0.0,0.0
adj,110th,0.0,0.0
adj,115,0.0,0.0
adj,115th,0.0,0.0
adj,11th,0.0,0.0
adj,12,0.0,0.0
adj,120,0.0,0.0
adj,120th,0.0,0.0
adj,125,0.0,0.125
adj,125th,0.0,0.0
adj,12th,0.0,0.0
adj,13,0.0,0.0
adj,130,0.0,0.0
adj,130th,0.0,0.0
adj,135,0.0,0.125
adj,135th,0.0,0.0
adj,13th,0.0,0.0
adj,14,0.0,0.0
adj,140,0.0,0.0
adj,140th,0.0,0.0
adj,145,0.0,0.125
adj,145th,0.0,0.0
adj,14th,0.0,0.0
adj,15,0.0,0.0
adj,150,0.0,0.0
adj,150th,0.0,0.0
adj,155,0.0,0.125
adj,155th,0.0,0.0
adj,15th,0.0,0.0
adj,16,0.0,0.0
adj,160,0.0,0.0
adj,160th,0.0,0.0
adj,165,0.0,0.125
adj,165th,0.0,0.0
adj,16th,0.0,0.0
adj,17,0.0,0.0
adj,170,0.0,0.0
adj,170th,0.0,0.0
adj,175,0.0,0.125
adj,175th,0.0,0.0
adj,17th,0.0,0.0
adj,18,0.0,0.0
adj,180,0.0,0.0
adj,180th,0.0,0.0
adj,18th,0.0,0.0
adj,19,0.0,0.0
adj,190,0.0,0.0
adj,190th,0.0,0.0
adj,19th,0.0,0.0
adj,1st,0.0,0.0
adj,2,0.0,0.0
adj,2-dimensional,0.0,0.625
adj,20,0.0,0.0
adj,200,0.0,0.0
adj,200th,0.0,0.0
adj,20th,0.0,0.0
adj,21,0.0,0.0
adj,21st,0.0,0.0
adj,22,0.0,0.0
adj,22nd,0.0,0.0
adj,23,0.0,0.0
adj,23rd,0.0,0.0
adj,24,0.0,0.0
adj,24th,0.0,0.0
adj,25,0.0,0.0
adj,25th,0.0,0.0
adj,26,0.0,0.0
adj,26th,0.0,0.0
adj,27,0.0,0.0
adj,27th,0.0,0.0
adj,28,0.0,0.0
adj,28th,0.0,0.0
adj,29,0.0,0.0
adj,29th,0.0,0.0
adj,2d,0.0,0.0
adj,2nd,0.0,0.0
adj,3,0.0,0.0
adj,3-dimensional,0.0,0.0
adj,3-membered,0.0,0.0
adj,30,0.0,0.0
adj,300,0.0,0.25
adj,300th,0.0,0.0
adj,30th,0.0,0.0
adj,31,0.0,0.0
adj,31st,0.0,0.0
adj,32,0.0,0.0
adj,32nd,0.0,0.0
adj,33,0.0,0.0
adj,33rd,0.0,0.0
adj,34,0.0,0.0
adj,34th,0.0,0.0
adj,35,0.0,0.0
adj,35th,0.0,0.0
adj,36,0.0,0.0
adj,36th,0.0,0.0
adj,37,0.0,0.0
adj,37th,0.0,0.0
adj,38,0.0,0.0
adj,38th,0.0,0.0
adj,39,0.0,0.0
adj,39th,0.0,0.0
adj,3rd,0.0,0.0
adj,4,0.0,0.0
adj,4-dimensional,0.0,0.0
adj,4-membered,0.0,0.0
adj,40,0.0,0.0
adj,400,0.0,0.25
adj,400th,0.0,0.0
adj,40th,0.0,0.0
adj,41,0.0,0.0
adj,41st,0.0,0.0
adj,42,0.0,0.0
adj,42nd,0.0,0.0
adj,43,0.0,0.0
adj,43rd,0.0,0.0
adj,44,0.0,0.0
adj,44th,0.0,0.0
adj,45,0.0,0.0
adj,45th,0.0,0.0
adj,46,0.0,0.0
adj,46th,0.0,0.0
adj,47,0.0,0.0
adj,47th,0.0,0.0
adj,48,0.0,0.0
adj,48th,0.0,0.0
adj,49,0.0,0.0
adj,49th,0.0,0.0
adj,4th,0.0,0.0
adj,5,0.0,0.0
adj,5-membered,0.0,0.0
adj,50,0.0,0.0
adj,500,0.0,0.0
adj,500th,0.0,0.0
adj,50th,0.0,0.0
adj,51,0.0,0.0
adj,52,0.0,0.0
adj,53,0.0,0.0
adj,54,0.0,0.0
adj,55,0.0,0.0
adj,55th,0.0,0.0
adj,56,0.0,0.0
adj,57,0.0,0.0
adj,58,0.0,0.0
adj,59,0.0,0.0
adj,5th,0.0,0.0
adj,6,0.0,0.0
adj,6-membered,0.0,0.0
adj,60,0.0,0.0
adj,60th,0.0,0.0
adj,61,0.0,0.0
adj,62,0.0,0.0
adj,63,0.0,0.0
adj,64,0.0,0.0
adj,64th,0.0,0.0
adj,65,0.0,0.0
adj,65th,0.0,0.0
adj,66,0.0,0.0
adj,67,0.0,0.0
adj,68,0.0,0.0
adj,69,0.0,0.0
adj,6th,0.0,0.0
adj,7,0.0,0.0
adj,7-membered,0.0,0.0
adj,70,0.0,0.0
adj,70th,0.0,0.0
adj,71,0.0,0.0
adj,72,0.0,0.0
adj,73,0.0,0.0
adj,74,0.0,0.0
adj,75,0.0,0.0
adj,75th,0.0,0.0
adj,76,0.0,0.0
adj,77,0.0,0.0
adj,78,0.0,0.0
adj,79,0.0,0.0
adj,7th,0.0,0.0
adj,8,0.0,0.0
adj,8-membered,0.0,0.0
adj,80,0.0,0.0
adj,80th,0.0,0.0
adj,81,0.0,0.0
adj,82,0.0,0.0
adj,83,0.0,0.0
adj,84,0.0,0.0
adj,85,0.0,0.0
adj,85th,0.0,0.0
adj,86,0.0,0.0
adj,87,0.0,0.0
adj,88,0.0,0.0
adj,89,0.0,0.0
adj,8th,0.0,0.0
adj,9,0.0,0.0
adj,9-membered,0.0,0.0
adj,90,0.0,0.0
adj,90th,0.0,0.0
adj,91,0.0,0.0
adj,92,0.0,0.0
adj,93,0.0,0.0
adj,94,0.0,0.0
adj,95,0.0,0.0
adj,95th,0.0,0.0
adj,96,0.0,0.0
adj,97,0.0,0.0
adj,98,0.0,0.0
adj,99,0.0,0.0
adj,9th,0.0,0.0
adj,a-ok,0.125,0.0
adj,a-okay,0.125,0.0
adj,a-one,0.625,0.0
adj,a.m.,0.0,0.0
adj,a_cappella,0.0,0.0
adj,a_couple_of,0.0,0.0
adj,a_few,0.0,0.0
adj,a_la_carte,0.0,0.0
adj,a_la_mode,0.0,0.0
adj,a_posteriori,0.125,0.0625
adj,a_priori,0.125,0.125
adj,abactinal,0.0,0.0
adj,abandoned,0.25,0.1875
adj,abashed,0.0,0.375
adj,abasic,0.125,0.375
adj,abatable,0.625,0.0
adj,abatic,0.125,0.375
adj,abaxial,0.0,0.0
adj,abbatial,0.0,0.0
adj,abbreviated,0.0,0.0
adj,abdicable,0.5,0.125
adj,abdominal,0.0,0.0
adj,abdominous,0.0,0.0
adj,abdominovesical,0.0,0.0
adj,abducent,0.0,0.0
adj,abducting,0.0,0.0
adj,abecedarian,0.0,0.0
adj,aberdonian,0.0,0.0
adj,aberrant,0.5,0.125
adj,abeyant,0.25,0.375
adj,abhorrent,0.0,0.75
adj,abiding,0.375,0.0
adj,abient,0.5,0.25
adj,abiogenetic,0.0,0.0
adj,abject,0.28125,0.59375
adj,abkhaz,0.0,0.0
adj,abkhazian,0.0,0.0
adj,ablated,0.0,0.125
adj,ablative,0.3125,0.0
adj,ablaze,0.09375,0.0625
adj,able,0.15625,0.0
adj,able-bodied,0.25,0.0
adj,abloom,0.125,0.0
adj,ablutionary,0.0,0.0
adj,abnaki,0.0,0.0
adj,abnormal,0.166666666667,0.375
adj,abolishable,0.625,0.0
adj,abolitionary,0.0,0.0
adj,abomasal,0.0,0.0
adj,abominable,0.0,0.5625
adj,aboral,0.0,0.0
adj,aboriginal,0.0,0.0
adj,abortifacient,0.0,0.375
adj,abortive,0.0,0.25
adj,aboulic,0.0,0.75
adj,abounding,0.0,0.25
adj,about,0.0,0.0
adj,above,0.0,0.125
adj,above-mentioned,0.0,0.125
adj,above-named,0.0,0.125
adj,aboveboard,0.25,0.625
adj,aboveground,0.0,0.0
adj,abranchial,0.0,0.0
adj,abranchiate,0.0,0.0
adj,abranchious,0.0,0.0
adj,abrasive,0.1665,0.521
adj,abreast,0.25,0.0
adj,abridged,0.0,0.0
adj,abroach,0.0,0.0
adj,abroad,0.0,0.0
adj,abrupt,0.28125,0.28125
adj,abruptly-pinnate,0.25,0.0
adj,abscessed,0.0,0.5
adj,absent,0.166666666667,0.458333333333
adj,absentminded,0.375,0.125
adj,absolute,0.3,0.325
adj,absolutist,0.0,0.0
adj,absolutistic,0.0,0.0
adj,absolved,0.625,0.0
adj,absolvitory,0.25,0.0
adj,absorbable,0.5,0.0
adj,absorbed,0.125,0.0625
adj,absorbefacient,0.375,0.0
adj,absorbent,0.0,0.0
adj,absorbing,0.5,0.0
adj,absorptive,0.0,0.0
adj,abstemious,0.3125,0.0625
adj,abstentious,0.0,0.625
adj,abstinent,0.0,0.625
adj,abstract,0.0,0.0
adj,abstracted,0.375,0.125
adj,abstractionist,0.0,0.0
adj,abstractive,0.375,0.0
adj,abstruse,0.5,0.375
adj,absurd,0.5,0.0
adj,abulic,0.0,0.75
adj,abundant,0.0,0.25
adj,abused,0.1875,0.375
adj,abusive,0.0,0.875
adj,abuzz,0.0,0.0
